link_row,start_lon,start_lat,end_lon,end_lat,mid_lon,mid_lat,highway_code,vol_base_case,capacity_base_case,freespeed_ms,length_m,degree,times_intervened,mean_abs_response,std_response
27945,2.37345,48.87275,2.3738,48.87253,2.37363,48.87263,4,0.0,480.0,8.33,37.5,6,0,0.0,0.0
27946,2.37226,48.86833,2.37291,48.86854,2.37258,48.86843,4,5.2,480.0,8.33,53.0,5,0,1.228,1.475
27947,2.27739,48.85371,2.27553,48.8542,2.27646,48.85396,4,23.8,480.0,8.33,147.3,3,0,2.963,3.627
27948,2.27553,48.8542,2.27305,48.85484,2.27429,48.85452,4,31.5,480.0,8.33,194.7,4,0,3.168,3.787
27949,2.27305,48.85484,2.27204,48.85509,2.27255,48.85497,4,31.5,480.0,8.33,80.1,4,0,3.168,3.787
27950,2.27204,48.85509,2.27091,48.85538,2.27147,48.85524,4,36.0,480.0,8.33,88.2,2,0,3.167,3.881
27951,2.27091,48.85538,2.27022,48.85555,2.27057,48.85546,4,11.0,480.0,8.33,54.5,5,0,1.198,1.493
27952,2.27022,48.85555,2.2694,48.85577,2.26981,48.85566,4,26.7,480.0,8.33,64.6,5,0,1.411,1.357
27953,2.2694,48.85577,2.26913,48.85584,2.26927,48.8558,4,25.8,480.0,8.33,21.6,4,0,1.064,1.35
27954,2.36835,48.876,2.36851,48.87614,2.36843,48.87608,9,29.9,480.0,8.33,19.4,5,0,11.241,5.859
27955,2.36851,48.87614,2.36835,48.876,2.36843,48.87608,9,0.0,480.0,8.33,19.4,2,0,0.0,0.0
27956,2.36579,48.88161,2.36693,48.88253,2.36636,48.88207,2,56.1,800.0,8.33,131.9,3,312,5.209,5.862
27957,2.36693,48.88253,2.36579,48.88161,2.36636,48.88207,2,41.7,1600.0,8.33,131.9,5,312,5.141,5.546
27958,2.34794,48.87584,2.3478,48.87581,2.34787,48.87582,4,3.6,480.0,8.33,11.1,2,0,0.618,0.681
27959,2.26913,48.85584,2.26931,48.85731,2.26922,48.85658,4,2.0,480.0,8.33,163.5,3,0,0.9,0.271
27960,2.31631,48.8754,2.31641,48.87521,2.31636,48.87531,9,2.0,480.0,8.33,24.1,2,0,0.535,0.745
27961,2.26931,48.85731,2.26913,48.85584,2.26922,48.85658,4,0.0,480.0,8.33,163.5,4,0,0.052,0.071
27962,2.2694,48.85577,2.26992,48.85658,2.26966,48.85617,4,2.0,480.0,4.17,97.7,3,0,0.898,0.237
27963,2.26992,48.85658,2.2694,48.85577,2.26966,48.85617,4,1.0,480.0,4.17,97.7,2,0,0.106,0.28
27964,2.26992,48.85658,2.27011,48.85747,2.27001,48.85703,4,1.0,480.0,4.17,105.5,4,0,0.898,0.237
27965,2.27011,48.85747,2.26992,48.85658,2.27001,48.85703,4,0.0,480.0,4.17,105.5,4,0,0.106,0.28
27966,2.27221,48.85828,2.27261,48.85818,2.27241,48.85823,2,166.7,1600.0,8.33,31.6,2,318,7.421,9.144
27967,2.34431,48.85366,2.34429,48.85379,2.3443,48.85373,1,147.8,1200.0,8.33,14.0,2,523,17.138,11.933
27968,2.27111,48.85341,2.27177,48.85384,2.27144,48.85362,4,2.5,480.0,8.33,68.2,3,0,2.312,0.787
27969,2.27029,48.85439,2.27095,48.85345,2.27062,48.85392,4,7.3,480.0,8.33,115.3,3,0,1.596,1.659
27970,2.27077,48.85334,2.26899,48.85397,2.26988,48.85366,4,12.0,480.0,8.33,148.9,2,0,1.175,1.494
27971,2.26474,48.85585,2.26611,48.85554,2.26543,48.85569,4,6.2,480.0,8.33,106.5,3,0,1.482,1.421
27972,2.26611,48.85554,2.26937,48.85468,2.26774,48.85511,4,18.2,480.0,8.33,257.7,4,0,2.543,2.174
27973,2.26937,48.85468,2.27021,48.85442,2.26979,48.85455,4,17.8,480.0,8.33,67.7,6,0,2.82,2.234
27974,2.27021,48.85442,2.27029,48.85439,2.27025,48.85441,4,21.4,480.0,8.33,8.3,4,0,2.544,2.452
